key,en,ru,uz,so
landing_main_title,"Run Your Own Business with B&U","Запусти свой бизнес с B&U","B&U bilan o'z biznesingizni boshlang","Ku Socodsii Ganacsigaaga Gaarka Ah B&U"
cta_main_button,"[BECOME AN AGENT]","[СТАТЬ АГЕНТОМ]","[AGENTGA AYLANISH]","[NOQO WAKIIL]"
main_headline,"Start today and earn from EVERY deposit and withdrawal!","Начни сегодня и зарабатывай с КАЖДОГО депозита и вывода!","Bugundan boshlang va HAR BIR depozit va pul yechib olishdan daromad ishlang!!","Maanta bilow oo lacag ka hel dhigaal iyo la bixitaan KASTA!"
step_1,"1. Become an Agent","1. Стань агентом","1. Agentga aylaning","1. Noqo Wakiil"
step_2,"2. Help players handle deposits and withdrawals","2. Помогай игрокам с депозитами и выводами","2. O'yinchilarga depozit qilish va pul yechib olishda yordam bering","2. Ciyaartoyda ka caawi maaraynta dhigaallada iyo la bixitaannada"
step_3,"3. Earn commission: 5% from deposits and 2% from withdrawals","3. Зарабатывай комиссию: 5% с депозитов и 2% с выводов","3. Komissiya ishlang: depozitlardan 8% va pul yechib olishdan 2 %","3. Hel qoondo: 5% dhigaallada iyo 2% la bixitaannada"
adv_1_text,"10K Agents Worldwide","10K агентов по всему миру","Dunyo bo'ylab 10 ming agent","10K oo Wakiil Adduunka oo Dhan"
adv_3_text,"Regular Benefits","Регулярные бенефиты","Muntazam bonuslar","Faa'iidooyin Joogto Ah"
adv_6_text,"High commissions","Высокие комиссии","Yuqori komissiyalar","Qoondooyin sare"
adv_4_text,"24/7 Support","Поддержка 24/7","24/7 qo'llab-quvvatlash","24/7 Taageero Ah"
adv_2_text,"Trusted Since 2019","Нам доверяют с 2019","Bizga 2019-yildan beri ishonch bildirishadi","Waxa La Aamminsanaa Ilaa 2019"
adv_5_text,"Easy Mobile App","Удобное мобильное приложение","Qulay mobil ilova","Ab Moobil oo Fudud"
cta_secondary_button,"[JOIN US TODAY]","[НАЧАТЬ УЖЕ СЕГОДНЯ]","[BUGUNDAN BOSHLASH]","[NAGU SOO BIIR]"
form_title,"Become an agent","Стать агентом","Agentga aylanish","Noqo wakiil"
form_subtitle,"10,000+ agents already work with us globally. Submit your application and hear from us within 24 hours.","С нами уже работают 10,000+ агентов по всему миру. Оставь заявку — мы свяжемся с тобой в течение 24 часов.","Biz bilan butun dunyo bo'ylab 10 000 dan ortiq agent ishlamoqda. Ariza qoldiring — 24 soat ichida siz bilan bog'lanamiz.","10,000+ oo wakiil ayaa durba noola shaqeeya si caalami ah. Soo gudbi codsigaaga oo farriin naga hel 24 saac gudahood."
field_name,"Name: *","Имя: *","Ism: *","Magaca: *"
field_email,"Email: *","Email: *","Elektron pochta: *","Iimaylka: *"
field_country,"Country:","Страна:","Mamlakat:","Dalka:"
field_phone_number,"Phone Number: *","Номер телефона: *","Telefon raqami: *","Lambarka Taleefanka: *"
field_messenger,"Messenger:","Мессенджер:","Messenjer:","Messenger:"
button_submit,"[SUBMIT]","[ОТПРАВИТЬ]","[YUBORISH]","[GUDBI]"
popup_title,"Don't Miss Your Spot","Не упусти свой шанс","Imkoniyatingizni qo'ldan boy bermang","Ha Seegin Booskaaga"
popup_description,"Join the 10K+ global agent network in less than a minute!","Присоединяйся к сети 10K+ агентов по всему миру меньше чем за минуту!","Bir daqiqadan kamroq vaqt ichida butun dunyo bo'ylab 10 mingdan ortiq agentlar tarmog'iga qo'shiling!","Ku biir 10K+ oo shabakad wakiillo caalami ah wax ka yar hal daqiiqo!"
